Sl no.,DistrictName,MarketName,Commodity,Variety,Grade,min_price,max_price,modal_price,PriceDate
8403,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,600,450,05-Sep-18
8404,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,650,400,04-Sep-18
8405,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,650,450,03-Sep-18
8406,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,610,520,02-Sep-18
8407,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,600,480,01-Sep-18
8408,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,720,600,31-Aug-18
8409,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,700,550,29-Aug-18
8410,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,620,550,28-Aug-18
8411,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,620,530,27-Aug-18
8412,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,650,550,26-Aug-18
8413,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,700,600,25-Aug-18
8414,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,730,630,24-Aug-18
8415,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,770,600,22-Aug-18
8416,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,900,800,21-Aug-18
8417,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,900,720,20-Aug-18
8418,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,900,600,19-Aug-18
8419,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,650,560,18-Aug-18
8420,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,280,630,480,17-Aug-18
8421,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,270,620,490,15-Aug-18
8422,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,620,450,14-Aug-18
8423,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,550,450,13-Aug-18
8424,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,530,450,12-Aug-18
8425,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,530,450,11-Aug-18
8426,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,620,530,10-Aug-18
8427,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,700,550,08-Aug-18
8428,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,770,600,07-Aug-18
8429,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,1000,800,06-Aug-18
8430,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,1150,880,05-Aug-18
8431,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,1200,920,04-Aug-18
8432,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,1300,960,03-Aug-18
8433,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,1350,1000,01-Aug-18
8434,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,1300,1000,31-Jul-18
8435,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,1300,1000,30-Jul-18
8436,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,1600,1000,29-Jul-18
8437,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,1600,1000,28-Jul-18
8438,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,1700,1150,27-Jul-18
8439,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,2100,1400,25-Jul-18
8440,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,2400,1600,24-Jul-18
8441,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,2600,1700,23-Jul-18
8442,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,2400,1600,22-Jul-18
8443,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,2100,1400,21-Jul-18
8444,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,2200,1400,20-Jul-18
8445,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,2200,1500,18-Jul-18
8446,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,2300,1500,17-Jul-18
8447,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,2100,1300,16-Jul-18
8448,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,2100,1400,15-Jul-18
8449,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,1300,880,14-Jul-18
8450,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,1700,1100,13-Jul-18
8451,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,2100,1400,11-Jul-18
8452,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,2000,1300,10-Jul-18
8453,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,2070,1270,09-Jul-18
8454,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,1900,1200,08-Jul-18
8455,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,2300,1400,07-Jul-18
8456,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,1900,1200,06-Jul-18
8457,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,1500,1000,04-Jul-18
8458,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,1300,850,26-Jun-18
8459,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,1200,800,25-Jun-18
8460,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,230,1300,900,24-Jun-18
8461,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,1100,800,23-Jun-18
8462,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,1400,920,22-Jun-18
8463,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,1920,1350,20-Jun-18
8464,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,2300,1600,19-Jun-18
8465,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,1650,1200,18-Jun-18
8466,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,1230,850,17-Jun-18
8467,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,1200,810,16-Jun-18
8468,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,1000,700,15-Jun-18
8469,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,1200,900,13-Jun-18
8470,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,1300,1000,12-Jun-18
8471,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,1100,840,11-Jun-18
8472,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,1100,850,10-Jun-18
8473,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,350,1050,750,09-Jun-18
8474,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,1100,800,08-Jun-18
8475,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,1200,800,06-Jun-18
8476,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,1300,800,05-Jun-18
8477,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,1050,800,04-Jun-18
8478,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,1000,800,03-Jun-18
8479,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,1000,750,02-Jun-18
8480,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,1000,800,01-Jun-18
8481,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,850,750,30-May-18
8482,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,850,750,29-May-18
8483,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,1000,800,28-May-18
8484,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,870,720,27-May-18
8485,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,870,640,26-May-18
8486,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,920,690,25-May-18
8487,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,880,680,23-May-18
8488,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,860,720,22-May-18
8489,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,850,700,21-May-18
8490,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,850,700,20-May-18
8491,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,850,700,19-May-18
8492,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,850,600,18-May-18
8493,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,230,830,740,17-May-18
8494,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,230,850,730,16-May-18
8495,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,230,800,670,15-May-18
8496,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,230,850,750,14-May-18
8497,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,230,800,700,12-May-18
8498,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,230,807,670,11-May-18
8499,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,230,750,650,10-May-18
8500,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,230,800,600,09-May-18
8501,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,240,700,570,08-May-18
8502,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,230,690,570,07-May-18
8503,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,230,650,520,05-May-18
8504,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,230,780,650,04-May-18
8505,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,230,750,640,03-May-18
8506,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,230,760,670,02-May-18
8507,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,230,740,560,01-May-18
8508,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,230,770,650,30-Apr-18
8509,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,230,750,630,28-Apr-18
8510,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,230,770,670,27-Apr-18
8511,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,230,770,650,26-Apr-18
8512,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,220,760,620,25-Apr-18
8513,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,230,730,550,24-Apr-18
8514,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,230,740,550,23-Apr-18
8515,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,220,720,690,21-Apr-18
8516,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,220,740,560,20-Apr-18
8517,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,220,730,560,19-Apr-18
8518,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,230,700,590,18-Apr-18
8519,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,220,690,480,17-Apr-18
8520,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,230,770,630,16-Apr-18
8521,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,220,750,550,14-Apr-18
8522,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,220,720,550,13-Apr-18
8523,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,220,690,530,12-Apr-18
8524,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,220,660,510,11-Apr-18
8525,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,220,770,550,10-Apr-18
8526,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,215,600,450,09-Apr-18
8527,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,210,630,490,07-Apr-18
8528,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,230,690,480,06-Apr-18
8529,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,230,610,450,05-Apr-18
8530,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,1400,1100,04-Apr-18
8531,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,1700,1200,03-Apr-18
8532,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,1250,900,02-Apr-18
8533,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,1230,800,01-Apr-18
8534,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,450,1400,950,31-Mar-18
8535,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,1450,1000,30-Mar-18
8536,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,1400,950,28-Mar-18
8537,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,1400,900,27-Mar-18
8538,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,1450,1100,26-Mar-18
8539,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,1500,1000,25-Mar-18
8540,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,1350,950,24-Mar-18
8541,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,1400,850,23-Mar-18
8542,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,1400,900,21-Mar-18
8543,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,1100,750,20-Mar-18
8544,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,1000,700,19-Mar-18
8545,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,1000,710,18-Mar-18
8546,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,1000,700,17-Mar-18
8547,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,1000,720,16-Mar-18
8548,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,1000,700,14-Mar-18
8549,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,920,700,13-Mar-18
8550,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,850,640,12-Mar-18
8551,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,240,770,570,11-Mar-18
8552,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,850,650,10-Mar-18
8553,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,230,850,600,09-Mar-18
8554,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,950,650,07-Mar-18
8555,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,700,500,06-Mar-18
8556,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,700,590,05-Mar-18
8557,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,810,600,04-Mar-18
8558,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,700,500,03-Mar-18
8559,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,470,350,02-Mar-18
8560,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,550,400,28-Feb-18
8561,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,620,500,27-Feb-18
8562,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,650,520,11-Feb-18
8563,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,240,620,500,10-Feb-18
8564,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,230,540,450,09-Feb-18
8565,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,230,620,460,07-Feb-18
8566,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,230,620,430,06-Feb-18
8567,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,260,470,370,05-Feb-18
8568,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,260,480,380,04-Feb-18
8569,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,470,380,03-Feb-18
8570,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,470,350,02-Feb-18
8571,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,540,440,31-Jan-18
8572,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,540,440,30-Jan-18
8573,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,570,470,29-Jan-18
8574,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,620,480,28-Jan-18
8575,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,270,620,440,27-Jan-18
8576,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,700,500,26-Jan-18
8577,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,240,650,440,24-Jan-18
8578,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,240,650,450,23-Jan-18
8579,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,230,610,400,22-Jan-18
8580,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,230,620,430,21-Jan-18
8581,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,235,620,370,20-Jan-18
8582,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,230,650,400,19-Jan-18
8583,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,260,620,370,17-Jan-18
8584,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,240,730,480,16-Jan-18
8585,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,270,620,370,15-Jan-18
8586,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,240,620,370,14-Jan-18
8587,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,580,380,13-Jan-18
8588,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,600,350,12-Jan-18
8589,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,620,360,10-Jan-18
8590,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,590,380,09-Jan-18
8591,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,610,380,08-Jan-18
8592,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,240,6000,430,07-Jan-18
8593,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,240,620,380,06-Jan-18
8594,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,240,600,410,05-Jan-18
8595,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,550,370,03-Jan-18
8596,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,240,580,400,02-Jan-18
8597,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,230,620,460,01-Jan-18
8598,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,230,625,380,31-Dec-17
8599,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,250,630,380,30-Dec-17
8600,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,230,650,390,29-Dec-17
8601,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,230,650,370,27-Dec-17
8602,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,230,690,384,26-Dec-17
8603,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,220,690,415,25-Dec-17
8604,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,230,690,420,24-Dec-17
8605,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,220,690,446,23-Dec-17
8606,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,220,770,650,22-Dec-17
8607,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,220,920,630,20-Dec-17
8608,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,220,1150,650,19-Dec-17
8609,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,220,1230,690,18-Dec-17
8610,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,220,1310,690,17-Dec-17
8611,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,220,1380,770,16-Dec-17
8612,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,220,1300,920,15-Dec-17
8613,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,220,1380,770,13-Dec-17
8614,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,220,1290,920,12-Dec-17
8615,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,220,1270,770,11-Dec-17
8616,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,220,1350,840,10-Dec-17
8617,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,220,1460,770,09-Dec-17
8618,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,220,1380,840,08-Dec-17
8619,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,220,1300,920,06-Dec-17
8620,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1200,3800,2700,05-Dec-17
8621,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1000,3900,2700,04-Dec-17
8622,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,800,3000,1900,03-Dec-17
8623,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,800,3000,2000,02-Dec-17
8624,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,750,3070,1900,01-Dec-17
8625,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1000,2600,1800,29-Nov-17
8626,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1150,2600,1800,28-Nov-17
8627,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1500,2300,1900,27-Nov-17
8628,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1000,2500,1800,26-Nov-17
8629,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1000,2500,1700,25-Nov-17
8630,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1000,2500,1800,24-Nov-17
8631,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1000,2300,2000,22-Nov-17
8632,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1000,2900,2000,21-Nov-17
8633,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1000,3000,2500,20-Nov-17
8634,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1000,3000,2200,19-Nov-17
8635,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1000,3000,2300,18-Nov-17
8636,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1100,3300,2600,17-Nov-17
8637,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1000,3000,2050,15-Nov-17
8638,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1000,2800,2000,14-Nov-17
8639,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1000,2800,2000,13-Nov-17
8640,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1500,3600,2400,12-Nov-17
8641,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1500,3500,2500,11-Nov-17
8642,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1500,3500,2500,10-Nov-17
8643,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1000,3000,2300,08-Nov-17
8644,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1000,2800,2200,07-Nov-17
8645,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1000,2800,2200,06-Nov-17
8646,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1000,3000,2500,05-Nov-17
8647,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1000,3000,2500,04-Nov-17
8648,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1000,3000,2400,03-Nov-17
8649,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1000,3300,2800,01-Nov-17
8650,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1000,3300,2800,31-Oct-17
8651,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1000,3070,2400,30-Oct-17
8652,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1000,3000,2800,29-Oct-17
8653,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1070,3200,2300,28-Oct-17
8654,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1000,2900,2300,27-Oct-17
8655,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1020,3070,2300,25-Oct-17
8656,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1000,3070,2300,24-Oct-17
8657,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1020,3380,2600,23-Oct-17
8658,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1020,3070,2300,22-Oct-17
8659,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1020,3070,2300,21-Oct-17
8660,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1070,3070,2300,20-Oct-17
8661,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1070,3070,2000,18-Oct-17
8662,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,920,2970,2300,17-Oct-17
8663,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,1150,3070,2300,16-Oct-17
8664,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,760,2600,2000,15-Oct-17
8665,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,760,2400,2000,14-Oct-17
8666,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,560,2400,2000,13-Oct-17
8667,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,510,2300,1800,11-Oct-17
8668,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,410,2050,1800,10-Oct-17
8669,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,410,1800,1580,09-Oct-17
8670,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,510,2050,1790,08-Oct-17
8671,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,750,2300,1530,07-Oct-17
8672,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,600,1700,1000,06-Oct-17
8673,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,600,1700,1000,04-Oct-17
8674,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,610,1450,1070,03-Oct-17
8675,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,750,1800,1200,02-Oct-17
8676,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,530,1200,900,01-Oct-17
8677,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,350,900,720,30-Sep-17
8678,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,950,700,29-Sep-17
8679,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,900,700,27-Sep-17
8680,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,350,900,600,26-Sep-17
8681,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,800,500,25-Sep-17
8682,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,200,700,480,24-Sep-17
8683,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,200,650,450,23-Sep-17
8684,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,200,700,450,22-Sep-17
8685,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,200,750,480,20-Sep-17
8686,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,200,700,400,19-Sep-17
8687,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,200,750,450,18-Sep-17
8688,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,200,750,450,17-Sep-17
8689,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,200,770,400,16-Sep-17
8690,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,380,1500,900,15-Sep-17
8691,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,380,1200,800,13-Sep-17
8692,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,1200,900,12-Sep-17
8693,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,1200,800,11-Sep-17
8694,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,1000,700,10-Sep-17
8695,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,1200,800,09-Sep-17
8696,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,400,1000,700,08-Sep-17
8697,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,300,1100,700,06-Sep-17
8698,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,500,3500,2500,05-Sep-17
8699,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,500,2800,2000,04-Sep-17
8700,Kolar,Chickkaballapura,Tomato,Tomato,FAQ,500,2800,2000,03-Sep-17
